App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DK,Grow,desktop,upcart,upcart,exact,10.56,3,1,0.333333,0,0,10.56,0,10.56,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,slide cart,slide cart,exact,9.56,3,0,0,0,0,0,0,0,2,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,SE,Grow,desktop,cart drawer,cart drawer,exact,7.23,3,1,0.333333,1,1,8.56,8.56,8.56,3,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Advanced,desktop,cart,cart,exact,9.53,3,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,sticky cart,sticky cart,exact,6.06,2,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Grow,desktop,slide,slide,exact,7.56,2,0,0,0,0,0,0,0,2,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,BE,Advanced,desktop,cart sidebar,cart sidebar,exact,8.03,2,1,0.5,0,0,11.06,0,11.06,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Plus,desktop,cart drawer,cart drawer,exact,7.23,2,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Advanced,desktop,cart,cart,exact,9.53,2,0,0,0,0,0,0,0,4,0.666666,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,cart,cart,exact,9.53,2,0,0,0,0,0,0,0,2.5,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,SE,Grow,desktop,upcart,upcart,exact,10.56,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,upcart,upcart,exact,10.56,1,0,0,0,0,0,0,0,3,0.5,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Advanced,desktop,sticky cart,sticky cart,exact,6.06,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Grow,desktop,sticky cart,sticky cart,exact,6.06,1,0,0,0,0,0,0,0,2,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Grow,desktop,slide cart drawer,slide cart drawer,exact,8.56,1,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Advanced,desktop,slide,slide,exact,7.56,1,0,0,0,0,0,0,0,1,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Plus,desktop,cartly,cartly,exact,5.56,1,0,0,0,0,0,0,0,1,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Advanced,desktop,cart drawer,cart drawer,exact,7.23,1,0,0,0,0,0,0,0,3,0.5,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Grow,desktop,cart drawer,cart drawer,exact,7.23,1,0,0,0,0,0,0,0,2,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,IE,Advanced,desktop,cart,cart,exact,9.53,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FI,Grow,desktop,cart,cart,exact,9.53,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Advanced,desktop,upcart,upcart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FR,Advanced,desktop,upcart,upcart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,AT,Advanced,desktop,upcart,upcart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Plus,desktop,upcart,upcart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Plus,desktop,upcart,upcart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Grow,desktop,side cart,side cart,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,FI,Grow,desktop,cart popup,cart popup,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Grow,desktop,cart app,cart app,exact,7.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,NL,Advanced,desktop,cart,cart,exact,9.53,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,GB,Plus,desktop,cart,cart,exact,9.53,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - EU (A) - 29/08/2025,2025-09-01,2025-09-04,UTC,USD,DE,Plus,desktop,cart,cart,exact,9.53,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,cart,cart,exact,8.56,71,4,0.056338,1,0.25,8.56,34.24,34.24,3.014084,0.898734,1,29.99,0.875876,34.24,1
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,slide cart,slide cart,exact,10.56,41,3,0.07317,1,0.333333,10.56,31.68,31.68,2.902439,0.97619,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,cart drawer,cart drawer,exact,8.56,35,4,0.114285,2,0.5,8.56,17.12,34.24,2.742857,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,cart,cart,exact,8.56,21,1,0.047619,0,0,8.56,0,8.56,4.190476,0.338709,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,upcart,upcart,exact,9.56,16,0,0,0,0,0,0,0,3.5,0.333333,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,cart,cart,exact,8.56,8,0,0,0,0,0,0,0,4.25,0.307692,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,drawer,drawer,exact,2.56,6,0,0,0,0,0,0,0,1.833333,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,slide cart drawer,slide cart drawer,exact,8.56,5,0,0,0,0,0,0,0,3.4,0.714285,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,sticky cart,sticky cart,exact,5.06,4,0,0,0,0,0,0,0,2.5,0.148148,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,cartly,cartly,exact,5.56,4,0,0,0,0,0,0,0,1.25,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,cart drawer,cart drawer,exact,8.56,4,0,0,0,0,0,0,0,3.75,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,slide,slide,exact,7.56,3,0,0,0,0,0,0,0,2.666666,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,cart drawer,cart drawer,exact,8.56,3,0,0,0,0,0,0,0,2.666666,0.25,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,upcart,upcart,exact,9.56,2,0,0,0,0,0,0,0,4,0.181818,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,2.5,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,4,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,slide,slide,exact,7.56,2,0,0,0,0,0,0,0,2.5,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,carty,carty,exact,1.56,2,0,0,0,0,0,0,0,1,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,upcart,upcart,exact,9.56,1,0,0,0,0,0,0,0,4,0.058823,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,side cart,side cart,exact,10.56,1,0,0,0,0,0,0,0,4,0.333333,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,drawer,drawer,exact,2.56,1,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,cartly,cartly,exact,5.56,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Plus,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,floating cart,floating cart,exact,6.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Grow,desktop,cart popup,cart popup,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-23,UTC,USD,US,Advanced,desktop,cart page,cart page,exact,5.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,cart,cart,exact,8.56,71,4,0.056338,1,0.25,8.56,34.24,34.24,3.014084,0.898734,1,29.99,0.875876,34.24,1
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,slide cart,slide cart,exact,10.56,41,3,0.07317,1,0.333333,10.56,31.68,31.68,2.902439,0.97619,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,cart drawer,cart drawer,exact,8.56,35,4,0.114285,2,0.5,8.56,17.12,34.24,2.742857,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,cart,cart,exact,8.56,21,1,0.047619,0,0,8.56,0,8.56,4.190476,0.338709,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,upcart,upcart,exact,9.56,16,0,0,0,0,0,0,0,3.5,0.333333,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,cart,cart,exact,8.56,8,0,0,0,0,0,0,0,4.25,0.307692,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,drawer,drawer,exact,2.56,6,0,0,0,0,0,0,0,1.833333,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,slide cart drawer,slide cart drawer,exact,8.56,5,0,0,0,0,0,0,0,3.4,0.714285,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,sticky cart,sticky cart,exact,5.06,4,0,0,0,0,0,0,0,2.5,0.148148,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,cartly,cartly,exact,5.56,4,0,0,0,0,0,0,0,1.25,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,cart drawer,cart drawer,exact,8.56,4,0,0,0,0,0,0,0,3.75,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,slide,slide,exact,7.56,3,0,0,0,0,0,0,0,2.666666,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,cart drawer,cart drawer,exact,8.56,3,0,0,0,0,0,0,0,2.666666,0.25,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,upcart,upcart,exact,9.56,2,0,0,0,0,0,0,0,4,0.181818,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,2.5,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,4,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,slide,slide,exact,7.56,2,0,0,0,0,0,0,0,2.5,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,carty,carty,exact,1.56,2,0,0,0,0,0,0,0,1,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,upcart,upcart,exact,9.56,1,0,0,0,0,0,0,0,4,0.058823,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,side cart,side cart,exact,10.56,1,0,0,0,0,0,0,0,4,0.333333,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,drawer,drawer,exact,2.56,1,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,cartly,cartly,exact,5.56,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Plus,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,floating cart,floating cart,exact,6.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Grow,desktop,cart popup,cart popup,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-19,UTC,USD,US,Advanced,desktop,cart page,cart page,exact,5.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,cart,cart,exact,8.56,70,4,0.057142,1,0.25,8.56,34.24,34.24,3.028571,0.897435,1,29.99,0.875876,34.24,1
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,slide cart,slide cart,exact,10.56,41,3,0.07317,1,0.333333,10.56,31.68,31.68,2.902439,0.97619,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,cart drawer,cart drawer,exact,8.56,35,4,0.114285,2,0.5,8.56,17.12,34.24,2.742857,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,cart,cart,exact,8.56,19,1,0.052631,0,0,8.56,0,8.56,4.210526,0.316666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,upcart,upcart,exact,9.56,16,0,0,0,0,0,0,0,3.5,0.333333,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,cart,cart,exact,8.56,8,0,0,0,0,0,0,0,4.25,0.307692,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,drawer,drawer,exact,2.56,6,0,0,0,0,0,0,0,1.833333,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,slide cart drawer,slide cart drawer,exact,8.56,5,0,0,0,0,0,0,0,3.4,0.714285,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,cartly,cartly,exact,5.56,4,0,0,0,0,0,0,0,1.25,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,cart drawer,cart drawer,exact,8.56,4,0,0,0,0,0,0,0,3.75,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,sticky cart,sticky cart,exact,5.06,3,0,0,0,0,0,0,0,2,0.115384,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,slide,slide,exact,7.56,3,0,0,0,0,0,0,0,2.666666,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,cart drawer,cart drawer,exact,8.56,3,0,0,0,0,0,0,0,2.666666,0.25,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,upcart,upcart,exact,9.56,2,0,0,0,0,0,0,0,4,0.181818,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,2.5,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,slide cart,slide cart,exact,10.56,2,0,0,0,0,0,0,0,4,0.666666,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,slide,slide,exact,7.56,2,0,0,0,0,0,0,0,2.5,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,carty,carty,exact,1.56,2,0,0,0,0,0,0,0,1,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,upcart,upcart,exact,9.56,1,0,0,0,0,0,0,0,4,0.058823,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,side cart,side cart,exact,10.56,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,drawer,drawer,exact,2.56,1,0,0,0,0,0,0,0,3,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,cartly,cartly,exact,5.56,1,0,0,0,0,0,0,0,4,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Plus,desktop,sticky cart,sticky cart,exact,5.06,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,floating cart,floating cart,exact,6.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Grow,desktop,cart popup,cart popup,exact,10.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-15,UTC,USD,US,Advanced,desktop,cart page,cart page,exact,5.56,0,0,0,0,0,0,0,0,0,0,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-10,UTC,USD,US,Grow,desktop,cart,cart,exact,8.56,37,2,0.054054,1,0.5,8.56,17.12,17.12,2.702702,0.880952,1,29.99,1.751752,17.12,1
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-10,UTC,USD,US,Grow,desktop,slide cart,slide cart,exact,10.56,36,2,0.055555,1,0.5,10.56,21.12,21.12,3.055555,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-10,UTC,USD,US,Grow,desktop,cart drawer,cart drawer,exact,8.56,23,3,0.130434,1,0.333333,8.56,25.68,25.68,3.217391,1,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-10,UTC,USD,US,Advanced,desktop,cart,cart,exact,8.56,14,1,0.071428,0,0,8.56,0,8.56,4.285714,0.318181,,,,,
Cartly Slide Cart Drawer,HP - USA - 29/08/2025,2025-09-01,2025-09-10,UTC,USD,US,Grow,desktop,upcart,upcart,exact,9.56,13,0,0,0,0,0,0,0,3.461538,0.5,,,,,
